Image-name,"ROI Type 0 Found",X1,Y1,X2,Y2,X3,Y3,X4,Y4,Type,"ROI Type 1 Found",X1,Y1,X2,Y2,X3,Y3,X4,Y4,Type,"ROI Type 2 Found",X1,Y1,X2,Y2,X3,Y3,X4,Y4,Type,"ROI Type 3 Found",X1,Y1,X2,Y2,X3,Y3,X4,Y4,Type,"ROI Type 4 Found",X1,Y1,X2,Y2,X3,Y3,X4,Y4,Type,"ROI Type 5 Found",X1,Y1,X2,Y2,X3,Y3,X4,Y4,Type,"ROI Type 6 Found",X1,Y1,X2,Y2,X3,Y3,X4,Y4,Type
2018081310154559_TO.jpg,0,-1,-1,-1,-1,-1,-1,-1,-1,"[1,0,0,0,0,0,0]",1,2779,2156,2535,2083,2564,1985,2808,2058,"[0,1,0,0,0,0,0]",0,-1,-1,-1,-1,-1,-1,-1,-1,"[0,0,1,0,0,0,0]",1,2435,2040,2232,1983,2257,1894,2460,1951,"[0,0,0,1,0,0,0]",1,2797,1811,2475,1715,2484,1685,2806,1780,"[0,0,0,0,1,0,0]",1,2438,1542,2339,1507,2352,1470,2451,1506,"[0,0,0,0,0,1,0]",1,2297,1494,2219,1472,2228,1440,2306,1462,"[0,0,0,0,0,0,1]"
2018081310155662_TO.jpg,0,-1,-1,-1,-1,-1,-1,-1,-1,"[1,0,0,0,0,0,0]",1,1983,871,2237,935,2208,1051,1954,986,"[0,1,0,0,0,0,0]",0,-1,-1,-1,-1,-1,-1,-1,-1,"[0,0,1,0,0,0,0]",1,1939,1054,2208,1124,2171,1265,1903,1195,"[0,0,0,1,0,0,0]",1,2561,1057,2764,1110,2748,1171,2545,1118,"[0,0,0,0,1,0,0]",1,2663,1519,2712,1527,2705,1570,2656,1563,"[0,0,0,0,0,1,0]",1,2931,1683,2994,1696,2990,1717,2927,1703,"[0,0,0,0,0,0,1]"
2018081310164277_TO.jpg,0,-1,-1,-1,-1,-1,-1,-1,-1,"[1,0,0,0,0,0,0]",1,2412,1698,2141,1824,2102,1741,2373,1614,"[0,1,0,0,0,0,0]",0,-1,-1,-1,-1,-1,-1,-1,-1,"[0,0,1,0,0,0,0]",1,2289,1620,1935,1764,1875,1618,2228,1473,"[0,0,0,1,0,0,0]",1,2794,1410,2559,1529,2536,1483,2771,1364,"[0,0,0,0,1,0,0]",1,2661,1254,2575,1299,2561,1272,2646,1227,"[0,0,0,0,0,1,0]",1,2568,1306,2499,1343,2484,1314,2552,1277,"[0,0,0,0,0,0,1]"
2018081310170784_TO.jpg,0,-1,-1,-1,-1,-1,-1,-1,-1,"[1,0,0,0,0,0,0]",1,2540,918,2775,1000,2735,1112,2501,1029,"[0,1,0,0,0,0,0]",0,-1,-1,-1,-1,-1,-1,-1,-1,"[0,0,1,0,0,0,0]",1,2567,1125,2944,1263,2894,1399,2517,1261,"[0,0,0,1,0,0,0]",1,2129,956,2213,983,2203,1014,2119,986,"[0,0,0,0,1,0,0]",1,2076,1289,2173,1317,2163,1349,2067,1321,"[0,0,0,0,0,1,0]",1,2178,1323,2232,1341,2224,1363,2170,1345,"[0,0,0,0,0,0,1]"
2018081310192116_TO.jpg,0,-1,-1,-1,-1,-1,-1,-1,-1,"[1,0,0,0,0,0,0]",1,1883,834,2104,823,2109,932,1888,942,"[0,1,0,0,0,0,0]",0,-1,-1,-1,-1,-1,-1,-1,-1,"[0,0,1,0,0,0,0]",1,1934,990,2192,983,2197,1181,1940,1189,"[0,0,0,1,0,0,0]",0,-1,-1,-1,-1,-1,-1,-1,-1,"[0,0,0,0,1,0,0]",0,-1,-1,-1,-1,-1,-1,-1,-1,"[0,0,0,0,0,1,0]",1,1629,1312,1694,1313,1693,1342,1628,1341,"[0,0,0,0,0,0,1]"
2018081310193020_TO.jpg,0,-1,-1,-1,-1,-1,-1,-1,-1,"[1,0,0,0,0,0,0]",1,2991,2691,3000,2410,3121,2414,3112,2694,"[0,1,0,0,0,0,0]",0,-1,-1,-1,-1,-1,-1,-1,-1,"[0,0,1,0,0,0,0]",1,3164,2628,3167,2311,3310,2312,3308,2629,"[0,0,0,1,0,0,0]",1,3048,2983,3065,2848,3091,2851,3074,2986,"[0,0,0,0,1,0,0]",1,3167,2949,3178,2857,3219,2862,3208,2954,"[0,0,0,0,0,1,0]",1,3178,2857,3189,2796,3221,2802,3210,2863,"[0,0,0,0,0,0,1]"
2018081310233899_TO.jpg,0,-1,-1,-1,-1,-1,-1,-1,-1,"[1,0,0,0,0,0,0]",0,-1,-1,-1,-1,-1,-1,-1,-1,"[0,1,0,0,0,0,0]",0,-1,-1,-1,-1,-1,-1,-1,-1,"[0,0,1,0,0,0,0]",1,2334,1466,2008,1434,2017,1337,2344,1369,"[0,0,0,1,0,0,0]",1,2679,1175,2466,1155,2469,1118,2682,1138,"[0,0,0,0,1,0,0]",1,2265,976,2143,965,2146,933,2268,943,"[0,0,0,0,0,1,0]",1,2122,967,2028,956,2032,920,2126,931,"[0,0,0,0,0,0,1]"
2018081310234000_TO.jpg,0,-1,-1,-1,-1,-1,-1,-1,-1,"[1,0,0,0,0,0,0]",1,1753,1438,1786,1231,1916,1251,1884,1459,"[0,1,0,0,0,0,0]",0,-1,-1,-1,-1,-1,-1,-1,-1,"[0,0,1,0,0,0,0]",1,2039,1477,2082,1176,2203,1194,2160,1495,"[0,0,0,1,0,0,0]",1,1833,1937,1880,1648,1921,1654,1873,1944,"[0,0,0,0,1,0,0]",1,2242,1932,2255,1855,2276,1859,2262,1935,"[0,0,0,0,0,1,0]",1,2259,1816,2267,1761,2288,1764,2280,1819,"[0,0,0,0,0,0,1]"
2018081310244118_TO.jpg,0,-1,-1,-1,-1,-1,-1,-1,-1,"[1,0,0,0,0,0,0]",1,2015,1324,2260,1328,2258,1435,2013,1431,"[0,1,0,0,0,0,0]",0,-1,-1,-1,-1,-1,-1,-1,-1,"[0,0,1,0,0,0,0]",1,2382,1328,2618,1323,2620,1428,2384,1433,"[0,0,0,1,0,0,0]",1,2096,1656,2415,1660,2415,1691,2096,1686,"[0,0,0,0,1,0,0]",1,2505,1811,2605,1811,2605,1841,2505,1841,"[0,0,0,0,0,1,0]",1,2665,1811,2734,1811,2734,1834,2665,1834,"[0,0,0,0,0,0,1]"
2018081310244419_TO.jpg,0,-1,-1,-1,-1,-1,-1,-1,-1,"[1,0,0,0,0,0,0]",1,1988,1307,2245,1323,2238,1426,1982,1409,"[0,1,0,0,0,0,0]",0,-1,-1,-1,-1,-1,-1,-1,-1,"[0,0,1,0,0,0,0]",1,2351,1326,2578,1337,2573,1432,2346,1421,"[0,0,0,1,0,0,0]",1,2040,1628,2342,1642,2340,1682,2038,1668,"[0,0,0,0,1,0,0]",1,2432,1794,2530,1799,2529,1826,2431,1822,"[0,0,0,0,0,1,0]",1,2577,1799,2650,1804,2648,1829,2575,1824,"[0,0,0,0,0,0,1]"
